split_level,repeat,split_role,sample_id,group_id,Folder,File,SMILES
training_only_within_group_selection,1,train,Group 3/21.log,Group 3,Group 3,21.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OCCCCCCCC)C=CC=C1SC5=C(OCCCCCCCC)C4=CC=C5
training_only_within_group_selection,1,train,Group 3/22.log,Group 3,Group 3,22.log,OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC([N+]([O-])=O)=C3)=CC=C2)OCCCCCCCCCCCC)C=C([N+]([O-])=O)C=C1SC5=C(OCCCCCCCCCCCC)C4=CC=C5
training_only_within_group_selection,1,train,Group 3/24.log,Group 3,Group 3,24.log,BrC(C=C1S2)=CC(SC3=CC(Br)=CC(SC4=C(O[Si](C)(C)C(C)(C)C)C(SC5=CC(Br)=CC2=C5O)=CC(Br)=C4)=C3OCCCCCCCCCCCC)=C1O[Si](C)(C)C(C)(C)C
training_only_within_group_selection,1,train,Group 3/26.log,Group 3,Group 3,26.log,OC1=C2C=CC=C1SC3=CC=CC(SC4=C(C(SC(C=CC=C5S2)=C5OCCCCCCCCCCCC)=CC=C4)OCCCCCCCCCCCC)=C3OCCCCCCCCCCCC
training_only_within_group_selection,1,train,Group 4/28.log,Group 4,Group 4,28.log,CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC#C)=CC(C(C)(C)C)=C2)OCC#C)=C(OCC#C)C(CC5=CC(C(C)(C)C)=CC4=C5OCC#C)=C1)C
training_only_within_group_selection,1,train,Group 4/29.log,Group 4,Group 4,29.log,CC(C1=CC2=C(OCC#C)C(CC3=CC(C(C)(C)C)=CC(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(C2)=C5OCC#C)=C4OCC#C)=C3OCC#C)=C1)(C)C
training_only_within_group_selection,1,train,Group 4/30.log,Group 4,Group 4,30.log,C#CCOC1=C2C=CC=C1CC3=CC=CC(CC4=CC=CC(CC(C=CC=C5C2)=C5OCC#C)=C4OCC#C)=C3OCC#C
training_only_within_group_selection,1,train,Group 4/32.log,Group 4,Group 4,32.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCC=C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCC=C)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 4/33.log,Group 4,Group 4,33.log,OC1=C(CC2=C(C(CC3=C(O)C(C4)=CC=C3)=CC=C2)OCC=C)C=CC=C1CC5=C(OCC=C)C4=CC=C5
training_only_within_group_selection,1,train,Group 4/35.log,Group 4,Group 4,35.log,CC(C1=CC2=C(OCC=C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCC=C)=C4OCC=C)=C3OCC=C)=C1)(C)C
training_only_within_group_selection,1,train,Group 4/36.log,Group 4,Group 4,36.log,CC(C1=CC2=C(OCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCC#C)=C4OCC#C)=C3OCC#C)=C1)(C)C
training_only_within_group_selection,1,train,Group 4/36_iso.log,Group 4,Group 4,36_iso.log,CC(C)(C1=CC(SC2=C(C(SC(C=C(C=C3S4)C(C)(C)C)=C3OCC#C)=CC(C(C)(C)C)=C2)OCC#C)=C(OCC#C)C(SC5=CC(C(C)(C)C)=CC4=C5OCC#C)=C1)C
training_only_within_group_selection,1,train,Group 4/37_iso.log,Group 4,Group 4,37_iso.log,C#CCOC1=C(SC2=CC=CC(S3)=C2OCC#C)C=CC=C1SC4=C(OCC#C)C(SC5=CC=CC3=C5OCC#C)=CC=C4
training_only_within_group_selection,1,train,Group 4/37.log,Group 4,Group 4,37.log,C#CCOC1=C(S2)C=CC=C1SC(C=CC=C3SC4=C(OCC#C)C(SC5=CC=CC2=C5OCC#C)=CC=C4)=C3OCC#C
training_only_within_group_selection,1,train,Group 4/38.log,Group 4,Group 4,38.log,BrC1=CC(SC2=CC(Br)=CC(SC3=C(OCC#C)C(SC4=CC(Br)=CC(SC5=C1)=C4OCC#C)=CC(Br)=C3)=C2OCC#C)=C5OCC#C
training_only_within_group_selection,1,train,Group 4/38_iso.log,Group 4,Group 4,38_iso.log,BrC(C=C1S2)=CC(SC3=CC(Br)=CC(SC4=C(OCC#C)C(SC5=CC(Br)=CC2=C5OCC#C)=CC(Br)=C4)=C3OCC#C)=C1OCC#C
training_only_within_group_selection,1,train,Group 4/39.log,Group 4,Group 4,39.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCC#C)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 4/40.log,Group 4,Group 4,40.log,CC(C)(C)C1=CC(CC2=C3)=C(OCCC#C)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCCC#C)=C5OCCC#C)=C4OCCC#C)=C1
training_only_within_group_selection,1,train,Group 4/44.log,Group 4,Group 4,44.log,CC(C1=CC2=C(OCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC5=C4OCCC#CC(C(C=C6S5)=CC(S2)=C6OCCC#C)(C)C)=C3OCCC#C)=C1)(C)C
training_only_within_group_selection,1,train,Group 4/45.log,Group 4,Group 4,45.log,CC(C1=CC2=C(OCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCC#C)=C4OCCCC#C)=C3OCCCC#C)=C1)(C)C
training_only_within_group_selection,1,train,Group 4/47.log,Group 4,Group 4,47.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCC#C)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 4/49.log,Group 4,Group 4,49.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCC#C)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 4/51.log,Group 4,Group 4,51.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 4/53.log,Group 4,Group 4,53.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 4/54.log,Group 4,Group 4,54.log,OC1=C(CC2=C(C(CC3=C(OCC#C)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCC#C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 5/57.log,Group 5,Group 5,57.log,CC(C1=CC2=C(OCCCCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCCCCCCCC)=C4OCCCCC#C)=C3OCCCCCCCCCCCC)=C1)(C)C
training_only_within_group_selection,1,train,Group 6/58.log,Group 6,Group 6,58.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCBr)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 6/60.log,Group 6,Group 6,60.log,OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCCCCBr)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCBr)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 6/62.log,Group 6,Group 6,62.log,CC(C1=CC2=C(OCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCBr)=C4OCCCBr)=C3OCCCBr)=C1)(C)C
training_only_within_group_selection,1,train,Group 6/63.log,Group 6,Group 6,63.log,CC(C1=CC2=C(OCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCBr)=C4OCCCCBr)=C3OCCCCBr)=C1)(C)C
training_only_within_group_selection,1,train,Group 6/64.log,Group 6,Group 6,64.log,CC(C1=CC2=C(OCCCCCBr)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCCCBr)=C4OCCCCCBr)=C3OCCCCCBr)=C1)(C)C
training_only_within_group_selection,1,train,Group 6/67.log,Group 6,Group 6,67.log,CC(C1=CC2=C(OCCCCCCOC3=C(SC4=CC(C(C)(C)C)=CC(S2)=C4OCCCCCCBr)C=C(C(C)(C)C)C=C3S5)C(SC6=CC(C(C)(C)C)=CC5=C6OCCCCCCBr)=C1)(C)C
training_only_within_group_selection,1,train,Group 7/70.log,Group 7,Group 7,70.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(/N=N/C5=CC=C([N+]([O-])=O)C=C5)=CC(SC1=C6)=C4OCCCBr)=CC(/N=N/C7=CC=C([N+]([O-])=O)C=C7)=C3)=CC(/N=N/C8=CC=C([N+]([O-])=O)C=C8)=C2)OCCCBr)C=C6/N=N/C9=CC=C([N+]([O-])=O)C=C9
training_only_within_group_selection,1,train,Group 7/71.log,Group 7,Group 7,71.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCOC6=CC=C(/N=N/C7=CC=C([N+]([O-])=O)C=C7)C=C6)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCOC8=CC=C(/N=N/C9=CC=C([N+]([O-])=O)C=C9)C=C8)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 7/72.log,Group 7,Group 7,72.log,OC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2
training_only_within_group_selection,1,train,Group 7/74.log,Group 7,Group 7,74.log,CCCCCCCCOC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2
training_only_within_group_selection,1,train,Group 7/75.log,Group 7,Group 7,75.log,OCCN(CC)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2
training_only_within_group_selection,1,train,Group 8/76.log,Group 8,Group 8,76.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCN)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 8/77.log,Group 8,Group 8,77.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCN)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 8/78.log,Group 8,Group 8,78.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 8/79.log,Group 8,Group 8,79.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCN)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 8/81.log,Group 8,Group 8,81.log,CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCN)=C4OCCCCCCCCCCCC)=C3OCCN)=C1)(C)C
training_only_within_group_selection,1,train,Group 8/82.log,Group 8,Group 8,82.log,CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCN)=C4OCCCCCCCCCCCC)=C3OCCCN)=C1)(C)C
training_only_within_group_selection,1,train,Group 8/83.log,Group 8,Group 8,83.log,CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCN=[N+]=[N-])=C4OCCCCCCCCCCCC)=C3OCCCN=[N+]=[N-])=C1)(C)C
training_only_within_group_selection,1,train,Group 8/84.log,Group 8,Group 8,84.log,CC(C1=CC2=C(OCCN=[N+]=[N-])C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCN=[N+]=[N-])=C4OCCN=[N+]=[N-])=C3OCCN=[N+]=[N-])=C1)(C)C
training_only_within_group_selection,1,train,Group 8/85.log,Group 8,Group 8,85.log,CC(C1=CC2=C(OCCCN=[N+]=[N-])C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCN=[N+]=[N-])=C4OCCCN=[N+]=[N-])=C3OCCCN=[N+]=[N-])=C1)(C)C
training_only_within_group_selection,1,train,Group 8/90.log,Group 8,Group 8,90.log,OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCN=[N+]=[N-])=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C
training_only_within_group_selection,1,train,Group 9/91.log,Group 9,Group 9,91.log,CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC5=CC(C6=CC=CC=C6)=NN5)=CC(C(C)(C)C)=C2)OCC7=CC(C8=CC=CC=C8)=NN7)=C(OCC9=CC(C%10=CC=CC=C%10)=NN9)C(CC%11=CC(C(C)(C)C)=CC4=C%11OCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)C
training_only_within_group_selection,1,train,Group 9/93.log,Group 9,Group 9,93.log,CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC5=CC(C6=CC=C(Cl)C=C6)=NN5)=CC(C(C)(C)C)=C2)OCC7=CC(C8=CC=C(Cl)C=C8)=NN7)=C(OCC9=CC(C%10=CC=C(Cl)C=C%10)=NN9)C(CC%11=CC(C(C)(C)C)=CC4=C%11OCC%12=CC(C%13=CC=C(Cl)C=C%13)=NN%12)=C1)C
training_only_within_group_selection,1,train,Group 9/94.log,Group 9,Group 9,94.log,CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC5=CC(C6=CC=C(OC)C=C6)=NN5)=CC(C(C)(C)C)=C2)OCC7=CC(C8=CC=C(OC)C=C8)=NN7)=C(OCC9=CC(C%10=CC=C(OC)C=C%10)=NN9)C(CC%11=CC(C(C)(C)C)=CC4=C%11OCC%12=CC(C%13=CC=C(OC)C=C%13)=NN%12)=C1)C
training_only_within_group_selection,1,train,Group 9/95.log,Group 9,Group 9,95.log,CC(C)(C)C1=CC(CC2=C3)=C(OCC4=CC(C5=CC=C(C)C=C5)=NN4)C(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC8=CC(C9=CC=C(C)C=C9)=NN8)=C7OCC%10=CC(C%11=CC=C(C)C=C%11)=N[N]%10)=C6OCC%12=CC(C%13=CC=C(C)C=C%13)=NN%12)=C1
training_only_within_group_selection,1,train,Group 9/96.log,Group 9,Group 9,96.log,CC(C)(C)C1=CC(CC2=C3)=C(OCC4=CC(C5=CC=C(Cl)C=C5)=NN4)C(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC8=CC(C9=CC=C(Cl)C=C9)=NN8)=C7OCC%10=CC(C%11=CC=C(Cl)C=C%11)=N[N]%10)=C6OCC%12=CC(C%13=CC=C(Cl)C=C%13)=NN%12)=C1
training_only_within_group_selection,1,train,Group 9/97.log,Group 9,Group 9,97.log,CC(C)(C)C1=CC(CC2=C3)=C(OCC4=CC(C5=CC=C(OC)C=C5)=NN4)C(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC8=CC(C9=CC=C(OC)C=C9)=NN8)=C7OCC%10=CC(C%11=CC=C(OC)C=C%11)=NN%10)=C6OCC%12=CC(C%13=CC=C(OC)C=C%13)=NN%12)=C1
training_only_within_group_selection,1,train,Group 9/99.log,Group 9,Group 9,99.log,CC(C1=CC2=C(OCC3=CC(C4=CC=CC=C4)=NN3)C(CC5=CC(C(C)(C)C)=CC(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(C2)=C7OCC8=CC(C9=CC=CC=C9)=NN8)=C6OCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C5OCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)(C)C
training_only_within_group_selection,1,train,Group 9/100.log,Group 9,Group 9,100.log,CC(C1=CC2=C(OCC3=CC(C4=CC=C(C)C=C4)=NN3)C(CC5=CC(C(C)(C)C)=CC(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(C2)=C7OCC8=CC(C9=CC=C(C)C=C9)=NN8)=C6OCC%10=CC(C%11=CC=C(C)C=C%11)=NN%10)=C5OCC%12=CC(C%13=CC=C(C)C=C%13)=NN%12)=C1)(C)C
training_only_within_group_selection,1,train,Group 9/102.log,Group 9,Group 9,102.log,CC(C1=CC2=C(OCC3=CC(C4=CC=C(OC)C=C4)=NN3)C(CC5=CC(C(C)(C)C)=CC(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(C2)=C7OCC8=CC(C9=CC=C(OC)C=C9)=NN8)=C6OCC%10=CC(C%11=CC=C(OC)C=C%11)=NN%10)=C5OCC%12=CC(C%13=CC=C(OC)C=C%13)=NN%12)=C1)(C)C
training_only_within_group_selection,1,train,Group 9/104.log,Group 9,Group 9,104.log,CC(C1=CC2=C(OCCCC3=CC(C4=CC=CC=C4)=NN3)C(CC5=CC(C(C)(C)C)=CC(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(C2)=C7OCCCC8=CC(C9=CC=CC=C9)=NN8)=C6OCCCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C5OCCCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)(C)C
training_only_within_group_selection,1,train,Group 9/106.log,Group 9,Group 9,106.log,CC(C1=CC2=C(OCCCC3=CC(C4=CC=CC=C4)=NN3)C(SC5=CC(C(C)(C)C)=CC(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(S2)=C7OCCCC8=CC(C9=CC=CC=C9)=NN8)=C6OCCCC%10=CC(C%11=CC=CC=C%11)=NN%10)=C5OCCCC%12=CC(C%13=CC=CC=C%13)=NN%12)=C1)(C)C
training_only_within_group_selection,1,train,Group 9/109.log,Group 9,Group 9,109.log,CC(C)(C)C(C=C1)=CC=C1OCC2=N3N([H][N]4C(COC5=CC=C(C(C)(C)C)C=C5)=CC(C6=CC=CC=C6)=[N]4[H]N(N([H][N]7[N]([H]3)=C(C8=CC=CC=C8)C=C7COC9=CC=C(C(C)(C)C)C=C9)C(C%10=CC=CC=C%10)=C%11)=C%11COC%12=CC=C(C(C)(C)C)C=C%12)C(C%13=CC=CC=C%13)=C2
training_only_within_group_selection,1,train,Group 9/110.log,Group 9,Group 9,110.log,CC(C)(C)C(C=C1)=CC=C1OCC2=CC(C3=CC=CC=C3)=N([H]N([N]([H][N]4N5=C(C6=CC=CC=C6)C=C4COC7=CC=C(C(C)(C)C)C=C7)C(COC8=CC=C(C(C)(C)C)C=C8)=C9)=C9C%10=CC=CC=C%10)[N]2[H][N]%11N([H]5)=C(C%12=CC=CC=C%12)C=C%11COC%13=CC=C(C(C)(C)C)C=C%13
training_only_within_group_selection,1,train,Group 10/113.log,Group 10,Group 10,113.log,OCCNC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1
training_only_within_group_selection,1,train,Group 10/114.log,Group 10,Group 10,114.log,O=S(OC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1)(C(F)(F)F)=O
training_only_within_group_selection,1,train,Group 10/115.log,Group 10,Group 10,115.log,CC(C1=CC2=C(OCCCOC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCOC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCOC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C
training_only_within_group_selection,1,train,Group 10/116.log,Group 10,Group 10,116.log,CC(C1=CC2=C(OCCCCOC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCCOC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCCOC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C
training_only_within_group_selection,1,train,Group 10/118.log,Group 10,Group 10,118.log,NNC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1
training_only_within_group_selection,1,train,Group 10/120.log,Group 10,Group 10,120.log,CCCCCCCCCCCCSC1=CC(C2=NC=CC=C2)=NC(C3=CC=CC=N3)=C1
training_only_within_group_selection,1,train,Group 10/122.log,Group 10,Group 10,122.log,CC(C1=CC2=C(OCCCCCSC3=CC(C4=NC=CC=C4)=NC(C5=CC=CC=N5)=C3)C(SC6=CC(C(C)(C)C)=CC(SC7=CC(C(C)(C)C)=CC(SC8=CC(C(C)(C)C)=CC(S2)=C8OCCCCCSC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C7OCCCCCSC%12=CC(C%13=NC=CC=C%13)=NC(C%14=CC=CC=N%14)=C%12)=C6OCCCCCSC%15=CC(C%16=NC=CC=C%16)=NC(C%17=CC=CC=N%17)=C%15)=C1)(C)C
training_only_within_group_selection,1,train,Group 10/123.log,Group 10,Group 10,123.log,CC(C1=CC2=C(OCCCCCCCCCCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCCOC6=CC(C7=NC=CC=C7)=NC(C8=CC=CC=N8)=C6)=C4OCCCCCCCCCCCC)=C3OCCCOC9=CC(C%10=NC=CC=C%10)=NC(C%11=CC=CC=N%11)=C9)=C1)(C)C
